Unnamed: 0,2,3,4,5,6,7,8,TimeStamp,Left_eye_diameter,Left_eye_openness,Distance,Left_eye_wide,Right_eye_diameter,Right_eye_openness,Right_eye_wide,Drowsiness,angle_target,angle_avatar,angle_headgaze,lx,ly,lz,rx1,ry1,rz1,x,y,z,w,realx1,realy1,realz1,Label
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652.0,134592.9068,114829.4273,98384.71244,79705.80664,131016.87349999999,108376.4116,165505.1011,3691931.0,2.72084,1.0,3.584226,0.1191556,2.524673,1.0,0.1191556,0.0,71.0436,77.65362,20.10823,30.160309999999996,5.927338,-32.44643,-28.34457,4.998062,-33.76474,-0.02787405,0.7816073,0.029684789999999996,0.6224403,-19.23391,5.047129,-74.78963,2.0
653.0,134540.8496,114791.8316,98358.87383,79551.66901,131018.1699,108338.9724,165504.5647,3691940.0,2.737305,1.0,3.584226,0.1161891,2.585815,1.0,0.1161891,0.0,13.31933,12.10584,71.60471,30.169709999999995,5.930237,-32.55417,-28.33136,5.074203,-34.07672,-0.02787405,0.7816073,0.029684789999999996,0.6224403,-19.23391,-74.78963,5.047129,2.0
654.0,134611.034,114857.7693,98426.77843,79794.81128,131022.4168,108344.6498,165493.8582,3691948.0,2.827591,1.0,3.625909,0.12053709999999998,2.471191,1.0,0.12053709999999998,0.0,71.02122,77.62595,19.71805,30.1739,5.934082,-32.64966,-28.30402,5.200897,-34.60181,-0.02568474,0.779501,0.028542040000000005,0.6252232,-19.2345,4.907424,-74.75436,2.0
655.0,134618.1643,114856.2494,98467.65977,79723.8445,131041.8628,108331.1493,165490.4608,3691956.0,2.74527,1.0,3.625909,0.116424,2.480637,1.0,0.116424,0.0,13.01987,11.81096,71.56567,30.19258,6.006134,-33.0071,-28.2944,5.216324,-34.66095,-0.02568474,0.779501,0.028542040000000005,0.6252232,-19.2345,-74.75436,4.907424,2.0
656.0,134645.0534,114895.87900000002,98492.09022,79902.88197,131066.1815,108361.86059999999,165582.0582,3691965.0,2.781937,1.0,3.625909,0.1191361,2.455368,1.0,0.1191361,0.0,71.02122,77.62595,19.71805,30.14307,5.965057,-32.81335,-28.30186,5.181396,-34.51396,-0.02568474,0.779501,0.028542040000000005,0.6252232,-19.2345,4.907424,-74.75436,2.0
657.0,134580.7698,114820.64300000001,98481.18257,79807.2165,131021.7909,108276.61109999998,165348.1695,3691973.0,2.801147,1.0,3.625909,0.1232462,2.442169,1.0,0.1232462,0.0,13.01987,11.81096,71.56567,30.12181,5.951904,-32.74232,-28.32167,5.122894,-34.26697,-0.02568474,0.779501,0.028542040000000005,0.6252232,-19.2345,-74.75436,4.907424,2.0
658.0,134643.3547,114883.33969999998,98518.06295,79960.50477,131002.9037,108258.0815,165404.183,3691981.0,2.796249,1.0,3.625909,0.125452,2.512497,1.0,0.125452,0.0,71.02122,77.62595,19.71805,30.10793,5.94545,-32.67699,-28.34717,5.079071,-34.06889,-0.02568474,0.779501,0.028542040000000005,0.6252232,-19.2345,4.907424,-74.75436,2.0
659.0,134607.0778,114826.5663,98525.90841,79916.09185,131037.7724,108263.5129,165338.8489,3691990.0,2.842102,1.0,3.7098199999999997,0.12266639999999998,2.512405,1.0,0.12266639999999998,0.0,70.97351,77.58051,19.44151,30.103210000000004,5.950134,-32.66347,-28.337399999999995,5.043655,-33.90179,-0.02264541,0.7784708,0.02857876,0.626621,-19.19878,4.716724,-74.54626,2.0
660.0,134615.1691,114849.96849999999,98497.23113,79955.2074,130983.5694,108207.0748,165351.7682,3691998.0,2.707336,1.0,3.7098199999999997,0.12117139999999998,2.532639,1.0,0.12117139999999998,0.0,12.37943,11.50693,71.53871,30.08429,5.954041,-32.60728,-28.37421,5.118881,-34.15929,-0.02264541,0.7784708,0.02857876,0.626621,-19.19878,-74.54626,4.716724,2.0
661.0,134587.1177,114803.231,98511.648,79951.54172,131003.7531,108208.21469999998,165222.441,3692006.0,2.714935,1.0,3.7098199999999997,0.1257539,2.554535,1.0,0.1257539,0.0,70.97351,77.58051,19.44151,30.071639999999995,5.970032,-32.6456,-28.358310000000003,5.050812,-33.88297,-0.02264541,0.7784708,0.02857876,0.626621,-19.19878,4.716724,-74.54626,2.0
662.0,134622.8358,114864.9442,98503.37786,79961.13061,130933.8592,108142.7688,165257.7344,3692015.0,2.756317,1.0,3.7098199999999997,0.1282131,2.491577,1.0,0.1282131,0.0,12.37943,11.50693,71.53871,30.06926,5.972321,-32.64488,-28.40515,5.13063,-34.16405,-0.02264541,0.7784708,0.02857876,0.626621,-19.19878,-74.54626,4.716724,2.0
663.0,134642.2371,114869.3028,98559.70425,80036.05366,131023.6014,108233.3157,165292.022,3692023.0,2.745911,1.0,3.76917,0.1258753,2.56897,1.0,0.1258753,0.0,70.97755,77.57216,19.36392,30.06688,5.974609,-32.6456,-28.37679,5.013474,-33.70317,-0.02039718,0.7785882,0.02943212,0.6265128,-19.23611,4.634034,-74.68,2.0
664.0,134651.3342,114912.8663,98524.76847,79964.30456,130963.4529,108169.9485,165353.2434,3692031.0,2.75206,1.0,3.76917,0.124272,2.562927,1.0,0.124272,0.0,12.43048,11.24195,71.53148,30.06479,5.97934,-32.64883,-28.39099,4.944092,-33.43558,-0.02039718,0.7785882,0.02943212,0.6265128,-19.23611,-74.68,4.634034,2.0
665.0,134679.0504,114914.0733,98587.91215,80086.41214,131048.2554,108251.55479999998,165341.1958,3692040.0,2.758789,1.0,3.76917,0.1486633,2.544067,1.0,0.1486633,0.0,70.97755,77.57216,19.36392,30.0627,5.98407,-32.6456,-28.394959999999998,4.94725,-33.43619,-0.02039718,0.7785882,0.02943212,0.6265128,-19.23611,4.634034,-74.68,2.0
666.0,134683.6102,114943.5553,98553.49047,79977.73796,130973.2206,108163.7124,165370.0072,3692048.0,2.753265,1.0,3.76917,0.1617534,2.562653,1.0,0.1617534,0.0,12.43048,11.24195,71.53148,30.06169,5.984116,-32.64488,-28.39891,4.950394,-33.4368,-0.01883699,0.7790836,0.02996253,0.6259204,-19.23611,-74.68,4.634034,2.0
667.0,134742.7976,114972.0091,98645.87023,80171.12525,131066.8297,108260.54019999999,165388.7827,3692056.0,2.759171,1.0,3.774994,0.1395271,2.54422,1.0,0.1395271,0.0,70.97474,77.56644,19.33272,30.0607,5.98407,-32.64417,-28.401469999999996,4.953964,-33.43619,-0.01883699,0.7790836,0.02996253,0.6259204,-19.24268,4.597767,-74.69617,2.0
668.0,134714.7685,114976.77,98597.90338,80017.90405,131015.0407,108189.3946,165455.5473,3692065.0,2.764679,1.0,3.774994,0.1456869,2.526443,1.0,0.1456869,0.0,12.39192,11.15177,71.52904,30.059620000000002,5.984116,-32.63382,-28.404019999999996,4.957535,-33.4368,-0.01883699,0.7790836,0.02996253,0.6259204,-19.24268,-74.69617,4.597767,2.0
669.0,134699.1223,114940.62719999999,98618.19877,80176.13204,131057.9337,108228.42069999999,165350.6059,3692073.0,2.769974,1.0,3.774994,0.135757,2.537552,1.0,0.135757,0.0,70.97474,77.56644,19.33272,30.0607,5.984161,-32.62347,-28.40553,4.958923,-33.44138,-0.01883699,0.7790836,0.02996253,0.6259204,-19.24268,4.597767,-74.69617,2.0
670.0,134659.0232,114918.4543,98561.82767,79982.47653,130945.2362,108084.07310000001,165250.7606,3692081.0,2.7845,1.0,3.774994,0.1304278,2.548706,1.0,0.1304278,0.0,12.39192,11.15177,71.52904,30.0607,5.984329,-32.61723,-28.407040000000002,4.960297,-33.44595,-0.01883699,0.7790836,0.02996253,0.6259204,-19.24268,-74.69617,4.597767,2.0
671.0,134741.0541,114965.25880000001,98658.49896,80233.97836,131018.7287,108161.79020000002,165272.4418,3692090.0,2.799149,1.0,3.6673929999999997,0.1414726,2.548325,1.0,0.1414726,0.0,70.99776,77.58961,19.37243,30.06071,5.984512,-32.61099,-28.41785,5.037125,-33.66718,-0.01817861,0.7799425,0.03029505,0.6248533,-19.25578,4.701738,-74.78717,2.0
672.0,134670.825,114920.4883,98586.57105,80009.47744,130966.51510000002,108083.15669999999,165283.9977,3692098.0,2.785095,1.0,3.6673929999999997,0.1474001,2.548248,1.0,0.1474001,0.0,12.708660000000002,11.33366,71.53354,30.06154,5.985138,-32.60396,-28.407040000000002,4.985855,-33.44595,-0.01817861,0.7799425,0.03029505,0.6248533,-19.25578,-74.78717,4.701738,2.0
673.0,134736.8744,114965.907,98665.91974,80258.65468,130989.448,108108.9953,165211.6898,3692106.0,2.79306,1.0,3.6673929999999997,0.1475897,2.553558,1.0,0.1475897,0.0,70.99776,77.58961,19.37243,30.062380000000005,5.985764,-32.59692,-28.40553,4.985611,-33.44138,-0.01817861,0.7799425,0.03029505,0.6248533,-19.25578,4.701738,-74.78717,2.0
674.0,134652.9659,114907.3678,98594.39416,80032.94677,130940.1177,108028.01500000001,165182.6772,3692115.0,2.796234,1.0,3.6673929999999997,0.1476915,2.55864,1.0,0.1476915,0.0,12.708660000000002,11.33366,71.53354,30.06253,5.986771,-32.59514,-28.404019999999996,4.985855,-33.4368,-0.01817861,0.7799425,0.03029505,0.6248533,-19.25578,-74.78717,4.701738,2.0
675.0,134687.1864,114934.6816,98634.29202,80242.67319,130947.4267,108040.1743,165121.2323,3692123.0,2.799194,1.0,3.459055,0.1456169,2.560532,1.0,0.1456169,0.0,71.04203,77.63647,19.38943,30.0627,5.987778,-32.59335,-28.401469999999996,4.985947,-33.43619,-0.01765161,0.7805501,0.0304409,0.6241021,-19.27589,4.916824,-74.93588,2.0
676.0,134658.6433,114908.68660000002,98619.53987,80070.74357,130923.1527,107978.8635,165093.5385,3692131.0,2.799942,1.0,3.459055,0.1445036,2.558548,1.0,0.1445036,0.0,13.3048,11.74447,71.5356,30.0627,5.988266,-32.59186,-28.39891,4.985855,-33.43558,-0.01765161,0.7805501,0.0304409,0.6241021,-19.27589,-74.93588,4.916824,2.0
677.0,134709.27,114954.2841,98662.99166,80269.60704,130938.26250000001,108000.6788,165105.519,3692140.0,2.781448,1.0,3.459055,0.1510097,2.488007,1.0,0.1510097,0.0,71.04203,77.63647,19.38943,30.05324,5.9758,-32.58746,-28.3815,5.028625,-33.61133,-0.01765161,0.7805501,0.0304409,0.6241021,-19.27589,4.916824,-74.93588,2.0
678.0,134673.3507,114918.6331,98654.72152,80119.98446,130926.39370000002,107954.41070000001,165047.0915,3692148.0,2.886978,1.0,3.459055,0.1545013,2.592667,1.0,0.1545013,0.0,13.3048,11.74447,71.5356,30.03403,5.954697,-32.53616,-28.3799,5.063812,-33.76517,-0.01765161,0.7805501,0.0304409,0.6241021,-19.27589,-74.93588,4.916824,2.0
679.0,134760.5225,114998.8312,98718.22282,80320.03258,130962.1341,108000.7011,165176.5752,3692156.0,2.866959,1.0,3.867592,0.1479838,2.491302,1.0,0.1479838,0.0,71.01878,77.57869,19.34589,30.034960000000005,5.964615,-32.563,-28.389540000000004,5.083893,-33.82262,-0.01731123,0.7806613,0.03011851,0.6239883,-19.36272,4.521515,-75.15903,2.0
680.0,134692.5285,114929.1831,98692.74183,80181.69763,130943.9398,107952.9131,165037.7709,3692165.0,2.867477,1.0,3.867592,0.1458924,2.505127,1.0,0.1458924,0.0,12.993290000000002,10.75898,71.53151,30.03831,5.969788,-32.58595,-28.38933,5.06987,-33.77184,-0.01731123,0.7806613,0.03011851,0.6239883,-19.36272,-75.15903,4.521515,2.0
681.0,134706.4313,114955.6029,98683.15294,80274.72559,130908.7358,107919.8996,165043.1576,3692173.0,2.866364,1.0,3.867592,0.1472382,2.519135,1.0,0.1472382,0.0,71.01878,77.57869,19.34589,30.04166,5.971893,-32.59665,-28.389540000000004,5.056396,-33.72104,-0.01731123,0.7806613,0.03011851,0.6239883,-19.36272,4.521515,-75.15903,2.0
682.0,134647.7133,114880.6128,98665.04802,80177.74137,130884.2159,107859.8181,164841.6567,3692181.0,2.845993,1.0,3.8683699999999996,0.1519693,2.518494,1.0,0.1519693,0.0,71.01727,77.57466,19.23742,30.04381,5.972961,-32.60104,-28.38992,5.056122,-33.71999,-0.01620595,0.7803031,0.03003571,0.6244698,-19.36906,4.49379,-75.17627,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.0,134110.2879,113136.9308,100839.8951,82438.53091,129056.715,112708.8949,169583.1546,3690224.0,2.725937,1.0,3.652462,0.08156605,2.45311,1.0,0.08156605,0.0,71.01087,77.6657,18.86722,30.14711,5.939056,-33.23636,-28.42685,5.06752,-34.08603,-0.0219654,0.7649935000000001,0.03090427,0.642921,-19.21393,4.881541,-73.81216,2.0
448.0,134087.3103,113084.62779999999,100814.39180000001,82347.87224,129130.878,112753.9113,169547.9953,3690232.0,2.736328,1.0,3.652462,0.05771008,2.43631,1.0,0.05771008,0.0,11.74063,12.3706,71.54963,30.15092,5.940887,-33.24042,-28.43181,5.083084,-34.13831,-0.0219654,0.7649935000000001,0.03090427,0.642921,-19.21393,-73.81216,4.881541,2.0
449.0,134105.147,113124.0115,100772.1023,82354.60011,129109.1745,112735.8064,169598.7337,3690240.0,2.746872,1.0,3.652462,0.06407916,2.456665,1.0,0.06407916,0.0,71.01087,77.6657,18.86722,30.15472,5.942719,-33.23636,-28.43858,5.111511,-34.22203,-0.0219654,0.7649935000000001,0.03090427,0.642921,-19.21393,4.881541,-73.81216,2.0
450.0,134043.188,113048.2615,100748.0965,82296.12795,129119.8586,112731.4255,169409.0121,3690249.0,2.7367859999999995,1.0,3.5926039999999997,0.072043,2.417831,1.0,0.072043,0.0,71.0305,77.69798,19.10466,30.15092,5.940887,-33.22914,-28.43387,5.045639,-33.97841,-0.0235437,0.7641050999999999,0.03275006,0.6438296,-19.19107,5.066297,-73.76308,2.0
451.0,134086.9527,113119.1165,100737.323,82282.04635,129095.69640000002,112718.7297,169526.2023,3690257.0,2.7264099999999996,1.0,3.5926039999999997,0.07356356,2.502441,1.0,0.07356356,0.0,12.0483,12.81059,71.56891,30.14711,5.939056,-33.22192,-28.45422,5.141724,-34.32686,-0.0235437,0.7641050999999999,0.03275006,0.6438296,-19.19107,-73.76308,5.066297,2.0
452.0,134041.7128,113071.7084,100738.1723,82293.5128,129157.7225,112780.88990000001,169441.0869,3690265.0,2.730392,1.0,3.5926039999999997,0.07437961,2.512222,1.0,0.07437961,0.0,71.0305,77.69798,19.10466,30.14452,5.93222,-33.19873,-28.455729999999996,5.137299,-34.31834,-0.0235437,0.7641050999999999,0.03275006,0.6438296,-19.19107,5.066297,-73.76308,2.0
